,Movie Name,IMDB Rating,Rotten Tomatoes Rating,Metacritic Rating,Facebook Likes
0,Focus,66,56,56,23000
1,Termintor Genisys,64,26,38,82000
2,Pan,57,27,36,24000
3,Ted 2,63,45,48,30000
4,Inside Out,82,98,94,118000
5,Goosebumps,63,78,60,35000
6,Aloha,54,20,40,11000
7,Cinderella,69,85,67,56000
8,Self/less,65,19,34,11000
9,Ip Man 3,71,78,57,12000
10,13 Hours,73,51,48,44000
11,Ghostbusters,78,97,71,62000
12,My Big Fat Greek Wedding 2,60,28,37,19000
13,Gods of Egypt,54,16,25,24000
14,Eddie the Eagle,74,82,54,15000
15,Star Trek Beyond,71,86,68,30000
16,London Has Fallen,59,26,28,28000
17,The 5th Wave,52,15,33,14000
18,Suicide Squad,60,27,40,80000
19,Me Before You,74,55,51,51000
